Location,Date,Description,Weaponry,Casulties,Shot Down
Markaba,17-03-2024,"Interception:On 17 March 2024, an explosion took place after an Israeli missile intercepted missiles believed to be fired by Hezbollah or other Palestinian armed groups in the western sector of the south (coded to Markaba).",missiles,0,0
Marjayoun,17-03-2024,"On 17 March 2024, the Israeli military fired artillery shells towards Marjayoun town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Blida,17-03-2024,"On 17 March 2024, the Israeli military fired artillery shells towards the outskirts of Blida town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Rachaya al Foukhar,17-03-2024,"On 17 March 2024, the Israeli military fired artillery shells in the vicinity of Rachaya al Foukhar town (Hasbeiya, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Ramieh,17-03-2024,"On 17 March 2024, Israeli warplanes carried out an airstrike on Ramieh town (Bint Jbeil, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",airstrike,0,0
Marwahin,16-03-2024,"On 16 March 2024, Israeli warplanes carried out an airstrike in the vicinity of Marwahin town (Tyr, South) amid ongoing hostilities with Hezbollah. There were no casualties.",airstrike,0,0
Tayr Harfa,16-03-2024,"On 16 March 2024, at around 4:00 AM, Israeli warplanes carried out an airstrike on an unoccupied house in Tayr Harfa town (Tyr, South) which led to its entire destruction. The Israeli military also fired artillery shells towards the town. The Israeli army announced it had struck military infrastructure for Hezbollah in the area. This comes amid ongoing hostilities with Hezbollah. There were no casualties.",airstrike,0,0
Ras al Naqoura,16-03-2024,"On 16 March 2024, Israeli warplanes carried out an airstrike in the vicinity of Ras al Naqoura town (Tyr, South) amid ongoing hostilities with Hezbollah. There were no casualties.",airstrike,0,0
Labbouneh,16-03-2024,"On 16 March 2024, Israeli warplanes carried out an airstrike on Labbouneh town (Tyr, South) amid ongoing hostilities with Hezbollah. The Israeli army announced it had struck military infrastructure for Hezbollah in the area. There were no casualties.",airstrike,0,0
Aalma Ech Chaab,16-03-2024,"On 16 March 2024, Israeli warplanes carried out an airstrike on Aalma Ech Chaab town (Tyr, South) amid ongoing hostilities with Hezbollah. There were no casualties.",airstrike,0,0
Marjayoun,16-03-2024,"On 16 March 2024, the Israeli military fired an artillery shell on the valley of Marjayoun (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. The shelling aimed to terrorize farmers and shepherds in the area. There were no casualties.",shelling,0,0
Jabal Blat,16-03-2024,"On 16 March 2024, Israeli fighter jets carried out an airstrike on Jabal Blat (Tyr, South) amid ongoing hostilities with Hezbollah. There were no casualties.",airstrike,0,0
Mays el Jabal,16-03-2024,"On 16 March 2024, Israeli warplanes carried out an airstrike and the Israeli military fired artillery shells on Mays el Jabal town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. The fired missile did not explode. The Israeli military announced it had struck a building for Hezbollah in the town. There were no casualties.",airstrike,0,0
Mays el Jabal,16-03-2024,"On 16 March 2024, Israeli warplanes carried out an airstrike in the western vicinity of Mays el Jabal town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. The fired missiles did not explode. There were no casualties.",missiles,0,0
Markaba,16-03-2024,"On 16 March 2024, Israeli warplanes carried out two airstrikes on Markaba town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. The Israeli military also fired artillery shells towards the town. There were no casualties.",airstrike,0,0
Al Wazzani,16-03-2024,"On 16 March 2024, the Israeli military fired artillery shells on Al Wazzani town (Hasbeiya, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Kfar Kila,16-03-2024,"On 16 March 2024, Israeli warplanes carried out three airstrikes near a UNIFIL headquarters in Tallet el Shakhroub in Kfar Kila town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. The Israeli military fired three artillery shells and used machine gunfire towards the town. The missiles from the airstrike did not explode. The Israeli military announced it had targeted an observation post for Hezbollah in the town. There were no casualties.",missiles,0,0
Aadayseh Marjayoun,16-03-2024,"On 16 March 2024, an Israeli Merkava tank fired an artillery shell that fell near the entrance of Aadayseh Marjayoun town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",unknown,0,0
Jebbayn,16-03-2024,"On 16 March 2024, the Israeli military fired artillery shells towards residential neighborhoods across Jebbayn town (Tyr, South) amid ongoing hostilities with Hezbollah. The shelling led to severe material damage across the town. There were no casualties.",shells,0,0
Houla,16-03-2024,"On 16 March 2024, the Israeli military fired artillery shells in the vicinity of Houla (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Aalma Ech Chaab,16-03-2024,"On 16 March 2024, the Israeli military fired artillery shells in the vicinity of Aalma Ech Chaab town (Tyr, South) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Qabrikha,16-03-2024,"On 16 March 2024, the Israeli military fired 175mm artillery shells on Wadi al Sluqi in the vicinity of Qabrikha town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Kounine,16-03-2024,"On 16 March 2024, the Israeli military fired 175mm artillery shells on the outskirts of Kounine town (Bint Jbeil, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Rmaysh,16-03-2024,"On 16 March 2024, at around 8:00 AM, the Israeli military fired two artillery shells on a Lebanese army center in southern Rmaysh (Bint Jbeil, Al Nabatieh). There were no casualties.",shells,0,0
Marwahin,16-03-2024,"On 16 March 2024, Israeli warplanes carried out an airstrike and the Israeli military fired artillery shells on Marwahin town (Tyr, South) amid ongoing hostilities with Hezbollah. A house was completely destroyed. The Israeli military announced it had struck a building and an observation post for Hezbollah in the town. There were no casualties.",airstrike,0,0
Aita ech Chaab,16-03-2024,"On 16 March 2024, Israeli warplanes carried out an airstrike on Aita ech Chaab town (Bint Jbeil, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",airstrike,0,0
Houla,16-03-2024,"On 16 March 2024, the Israeli military fired artillery shells in and on the outskirts of Houla town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Markaba,16-03-2024,"On 16 March 2024, the Israeli military fired artillery shells in the vicinity of Markaba town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Aitaroun,16-03-2024,"On 16 March 2024, Israeli warplanes carried out an airstrike on a house in Al Ounayseh area in Aitaroun town (Bint Jbeil, Al Nabatieh) amid ongoing hostilities with Hezbollah. A fire broke out in the house after the strike. There were no casualties.",airstrike,0,0
Ed Dhayra,16-03-2024,"On 16 March 2024, the Israeli military fired artillery shells on Ain el Zarqa and Al Batichiyeh areas in Ed Dhayra town (Tyr, South) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Yaroun,16-03-2024,"On 16 March 2024, the Israeli military fired artillery shells in the vicinity of Yaroun town (Bint Jbeil, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Kounine,16-03-2024,"On 16 March 2024, the Israeli military fired artillery shells in the vicinity of Kounine town (Bint Jbeil, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Rmaysh,16-03-2024,"On 16 March 2024, the Israeli military fired an artillery shell in the vicinity of Rmaysh (Bint Jbeil, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",unknown,0,0
Al Wazzani,16-03-2024,"On 16 March 2024, the Israeli military fired artillery shells in the vicinity of Al Wazzani (Hasbeiya, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Deir Mimas,16-03-2024,"On 16 March 2024, an Israeli Merkava tank fired shells on the Houra area between Kfar Kila and Deir Mimas (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Maroun er Ras,16-03-2024,"On 16 March 2024, the Israeli military fired artillery shells on an area between Aitaroun and Maroun er Ras (Bint Jbeil, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Khiyam,16-03-2024,"On 16 March 2024, the Israeli military fired artillery shells on Khiyam town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. The Israeli military announced it had targeted military infrastructure for Hezbollah. There were no casualties.",shells,0,0
El Hamames,15-03-2024,"On 15 March 2024, the Israeli military fired artillery shells on El Hamames town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Al Wazzani,15-03-2024,"On 15 March 2024, the Israeli military fired artillery shells in the vicinity of Al Wazzani town (Hasbeiya, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Aita ech Chaab,15-03-2024,"On 15 March 2024, Israeli warplanes carried out an airstrike on the Abo Laban neighborhood in Aita ech Chaab (Bint Jbeil, Al Nabatieh) amid ongoing hostilities with Hezbollah. The IDF said it had struck an observation post for Hezbollah in the town. There were no casualties.",airstrike,0,0
Ras al Naqoura,15-03-2024,"On 15 March 2024, Israeli warplanes carried out an airstrike and the Israeli military fired artillery shells on Ras al Naqoura (Tyr, South) amid ongoing hostilities with Hezbollah. There were no casualties.",airstrike,0,0
Aalma Ech Chaab,15-03-2024,"On 15 March 2024, Israeli warplanes carried out an airstrike in the vicinity of Aalma Ech Chaab (Tyr, South) amid ongoing hostilities with Hezbollah. There were no casualties.",airstrike,0,0
Aalma Ech Chaab,15-03-2024,"On 15 March 2024, Israeli warplanes carried out an airstrike on a house in the outskirts of Aalma Ech Chaab (Tyr, South) amid ongoing hostilities with Hezbollah. The house was completely destroyed. The Israeli military also fired artillery shells towards the town. The IDF said it had struck a building for Hezbollah in the town. There were no casualties.",airstrike,0,0
Labbouneh,15-03-2024,"On 15 March 2024, Israeli warplanes carried out an airstrike and the Israeli military fired artillery shells on Labbouneh town (Tyr, South) amid ongoing hostilities with Hezbollah. The IDF announced it had struck Hezbollah infrastructure in the town. There were no casualties.",airstrike,0,0
Kfar Kila,15-03-2024,"On 15 March 2024, Israeli warplanes carried out an airstrike on a villa in Kfar Kila town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. The IDF announced it had struck Hezbollah targets in the town. There were no casualties.",airstrike,0,0
Houla,15-03-2024,"On 15 March 2024, Israeli warplanes carried out two airstrikes and the Israeli military fired artillery shells on Houla town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. One of the missiles that targeted the town but did not explode. One of the airstrikes targeted a house in the Manara neighborhood. The IDF announced it had struck Hezbollah infrastructure in the town. There were no casualties.",missiles,0,0
Ramieh,15-03-2024,"On 15 March 2024, Israeli warplanes carried out two airstrikes on Ramieh town (Bint Jbeil, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",airstrike,0,0
Ras al Naqoura,15-03-2024,"On 15 March 2024, Israeli warplanes carried out an airstrike and the Israeli military fired artillery shells in the vicinity of Ras al Naqoura town (Tyr, South) amid ongoing hostilities with Hezbollah. There were no casualties.",airstrike,0,0
Labbouneh,15-03-2024,"On 15 March 2024, Israeli warplanes carried out an airstrike in the vicinity of Labbouneh town (Tyr, South) amid ongoing hostilities with Hezbollah. There were no casualties.",airstrike,0,0
Jebbayn,15-03-2024,"On 15 March 2024, the Israeli military fired artillery shells in the vicinity of Jebbayn town (Tyr, South) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Tayr Harfa,15-03-2024,"On 15 March 2024, the Israeli military fired artillery shells in the vicinity of Tayr Harfa town (Tyr, South) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Aitaroun,15-03-2024,"On 15 March 2024, the Israeli military fired artillery shells in the vicinity of Aitaroun town (Bint Jbeil, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
